adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,keywords
False,,100000000,Action;Crime;Fantasy,,414,tt0112462,en,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",13.321354,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,Warner Bros.;Polygram Filmed Entertainment,,1995-06-16,336529144,121,en,Released,"Courage now, truth always...",Batman Forever,False,5.2,1529,riddle;dc comics;rose;gotham city;partner;superhero;robin;broken neck;psychologist;violence;criminal;district attorney;millionaire;falling down stairs;tied up;tommy gun;beretta;knocked out;super powers;disfigurement;father figure
False,,0,Drama;Thriller,,1873,tt0112495,en,Beyond Rangoon,"Patricia Arquette stars as American widow Laura Bowman, a young doctor who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s, in this fictionalized drama based on actual events. Bowman initially left San Francisco with her sister (Frances McDormand) in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.",2.04189,/5CQgpLITPo33AEN1jULsyiHxSDJ.jpg,Columbia Pictures;Castle Rock Entertainment,,1995-05-24,0,100,en,Released,Truth has a witness,Beyond Rangoon,False,6.4,21,burma;rangoon;doctor
False,,27000000,Drama;Mystery;Thriller,,8512,tt0112857,en,Devil in a Blue Dress,"In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head.",4.646132,/z0Boi5LktVxDMFnpyAqQEnYfPtM.jpg,TriStar Pictures;Mundy Lane Entertainment,,1995-09-15,16140822,102,en,Released,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.,Devil in a Blue Dress,False,6.3,88,jazz club;murder;los angeles;private detective;film noir;neo-noir
False,,90000000,Action;Thriller,,1572,tt0112864,en,Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",15.138855,/ivpXGcsPZglyYrN65THWSD7JM3q.jpg,Twentieth Century Fox Film Corporation;Cinergi Pictures Entertainment,,1995-05-19,366101666,128,en;de;ro,Released,Think fast. Look alive. Die hard.,Die Hard: With a Vengeance,False,6.9,2094,bomb;taxi;riddle;robbery;detective;helicopter;gold;subway;ship;fistfight;police;sequel;deception;shootout;new york city;explosion;violence;car chase;fbi agent;simon says;flashback;dump truck;aqueduct;action hero;federal reserve bank
False,,0,Mystery;Horror;Thriller,,8973,tt0113690,en,Lord of Illusions,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader Nix, a powerful magician who was killed 13 years earlier.",4.102409,/9pwdoUes8V8ntTetsKtv2ThGeIm.jpg,United Artists;Seraphim Films,,1995-08-25,0,119,en,Released,Trust Nothing Except Your Fear.,Lord of Illusions,False,5.9,87,fanatic;supernatural;wizardry;resurrection;sect;occultism
False,,22000000,Crime;Drama;Mystery;Thriller;Action,,1642,tt0113957,en,The Net,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...",13.304342,/gKDNaAFzT21cSVeKQop7d1uhoSp.jpg,Columbia Pictures,,1995-07-28,110627965,114,en;es,Released,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen.",The Net,False,5.6,359,cheating;new identity;computer virus;chase;computer;stalking
False,,42000000,Crime;Drama;Science Fiction;Thriller,http://www.strange-days.com,281,tt0114558,en,Strange Days,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?",11.223055,/rXvy5hG9OeVmgnv9w4IhQxhqEKD.jpg,Lightstorm Entertainment,,1995-10-13,7959291,145,en,Released,You know you want it.,Strange Days,False,6.8,334,pornography;prostitute;rape;police brutality;dream;ex-girlfriend;future;bodyguard;rapper;virtual reality;dystopia;minidisc;police;ex-cop;murder;cyberpunk;los angeles;violence;criminal;private detective;revolt;woman director
False,,60000000,Action;Thriller,,3512,tt0114781,en,Under Siege 2: Dark Territory,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",7.490247,/6Z1p71nkm45cYuIZWOx5JSCYc0o.jpg,Regency Enterprises;Warner Bros.;Seagal/Nasso Productions;Victor Company of Japan (JVC);Cutting Edge Films,,1995-07-13,104324083,100,en,Released,Last time he rocked the boat. This time the sky's the limit.,Under Siege 2: Dark Territory,False,5.6,217,terrorist;pentagon;satellite;navy seal;train
False,,0,Adventure;Action;Comedy;Crime;Family,,26258,tt0112602,en,Bushwhacked,"A inept courier realises he has been used by criminals to deliver money. On the run from both the criminals and police, he poses as a Scout leader and leads a scout group on a hike through the mountains.",3.287036,/A4UQ0y2kj4ZXrBP0MXYazd69xp2.jpg,Twentieth Century Fox Film Corporation,,1995-08-04,0,90,en;de,Released,"They wanted a great adventure. What they got was ""Mad Max"" Grabelski.",Bushwhacked,False,4.9,29,cave;waterfall;children;mistaken identity;boy scouts leader
False,,2500000,Drama;Romance,,76,tt0112471,en,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",11.304979,/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg,Detour Film Production;Warner Bros.,,1995-01-27,5535405,105,en;de;fr,Released,Can the greatest romance of your life last only one night?,Before Sunrise,False,7.7,984,dialogue;sunrise;talking;soulmates;walking;austria;traveller;danube;bittersweet;romantic;vienna
False,,25000000,Romance;Drama;Comedy,,1909,tt0112883,en,Don Juan DeMarco,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.",7.438934,/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg,New Line Cinema;American Zoetrope,,1994-10-01,22200000,97,en,Released,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!,Don Juan DeMarco,False,6.3,184,sex addiction;love;mental institution;patient;psychiatrist;don juan
False,,55000000,Drama;Thriller;Crime;Mystery;Romance,,8984,tt0109635,en,Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",11.812244,/qbwcjmHnXkeE8l7wNBsdnlrp3J4.jpg,Warner Bros.;Baltimore Pictures,,1994-12-09,214015089,123,en,Released,Sex Is Power.,Disclosure,False,5.9,217,employee;workplace;sexual harassment;intrigue
False,,45000000,Action;Adventure;Thriller,,4954,tt0109676,en,Drop Zone,A team of skydiving crooks led by DEA-agent-turned-bad Ty Moncrief (Busey) specialize in landing on police roofs and breaking in so their evil computer nerd can steal undercover agents' files and sell them to drug lords. Federal Marshal Pete Nessip (Snipes) lost a brother to this crew and learns skydiving with the help of tough-but-lovable instructor Jessie Crossmann (Butler) so he can track them down.,9.579155,/pVgdUHeIVEILyRISE4ysA8I6a8T.jpg,Paramount Pictures,,1994-12-08,0,101,en,Released,Taking crime to new heights,Drop Zone,False,5.1,91,terrorist;transport of prisoners;airplane;parachuting;suspense
False,,18000000,Comedy;Drama;History,,522,tt0109707,en,Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",11.720358,/9qBe2sUDyY2dFH1iHq0SZb1G4QG.jpg,Touchstone Pictures,,1994-09-27,5887457,127,en,Released,"When it came to making bad movies, Ed Wood was the best.",Ed Wood,False,7.3,639,individual;taxi;transsexuality;fortune teller;film business;film making;film producer;vororte;film maker;boxer;film director;oddball;celebrity;morphine;movie studio;los angeles;drug addict;cult director;theremin;handgun;trick or treating;actor;transvestite
False,,5000000,Drama;Fantasy,http://www.miramax.com/movie/heavenly-creatures,1024,tt0110005,en,Heavenly Creatures,"Based on the true story of Juliet Hulme and Pauline Parker, two close friends who share a love of fantasy and literature, who conspire to kill Pauline's mother when she tries to end the girls' intense and obsessive relationship.",9.438042,/5ek49TUeqStPmKwNdxrCSUAdXNe.jpg,WingNut Films;Miramax Films;New Zealand Film Commission;Fontana Productions,,1994-09-02,3049135,99,en,Released,From a secret world no one could see... came a crime no one could believe.,Heavenly Creatures,False,6.9,299,mother;sex;secret;obsession;literature;nudity;fantasy;passion;love;friends;murder;independent film;lesbian;true;relationship
False,,60000000,Horror;Romance,,628,tt0110148,en,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",11.970205,/hldXwwViSfHJS0kIJr07KBGmHJI.jpg,Geffen Pictures,,1994-11-11,223664608,123,en;fr,Released,Drink from me and live forever,Interview with the Vampire,False,7.2,1558,paris;san francisco;vampire;plantation;pity;bite;fang vamp
False,,60000000,Comedy;Family;Romance,,6280,tt0110216,en,Junior,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",6.710215,/bwt2hkLGKo5KAVMCw4u1umUPhax.jpg,Universal Pictures;Northern Lights Entertainment,,1994-11-22,37000000,109,en,Released,Nothing is inconceivable,Junior,False,4.7,381,baby;medicine;media;pregnancy;scientist;science;male pregnancy;fertility;gynaecology;ceasarean birth
False,,11000000,Adventure;Action;Science Fiction,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,Lucasfilm;Twentieth Century Fox Film Corporation,,1977-05-25,775398007,121,en,Released,"A long time ago in a galaxy far, far away...",Star Wars,False,8.1,6778,android;galaxy;hermit;death star;lightsaber;jedi;rescue mission;empire;rebellion;planet;smuggler;the force;space opera;galactic war;stormtrooper;totalitarianism
False,,30000000,Adventure;Drama;Romance;War,,4476,tt0110322,en,Legends of the Fall,"An epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love.",12.199047,/uh0sJcx3SLtclJSuKAXl6Tt6AV0.jpg,Bedford Falls Productions;TriStar Pictures;Pangaea,,1994-12-16,160638883,133,kw;en,Released,After the Fall from Innocence the Legend begins.,Legends of the Fall,False,7.2,636,brother brother relationship;montana;based on novel;world war i;journey round the world
False,,45000000,Drama;Horror;Science Fiction;Romance,,3036,tt0109836,en,Frankenstein,"Based on Mary Shelley's novel, ""Frankenstein"" tells the story of Victor Frankenstein, a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with bringing the dead back to life. His experiments lead to the creation of a monster, which Frankenstein has put together with the remains of corpses. It's not long before Frankenstein regrets his actions.",14.287753,/uG0YLHdiBuWBv99MLwthucsvKLZ.jpg,American Zoetrope;TriStar Pictures,,1994-11-04,112006296,123,en,Released,Be Warned.  It's Alive,Mary Shelley's Frankenstein,False,6.1,272,human experimentation;frankenstein;remake
False,,31000000,Drama;Thriller,,1945,tt0110638,en,Nell,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets.",5.930957,/4XLF6QkUqMDL5SLDEw1nrpSMk8N.jpg,Twentieth Century Fox Film Corporation;Egg Pictures;PolyGram Filmed Entertainment,,1994-12-23,106683817,112,en,Released,Her heart. Her soul. Her language are a mystery...A mystery called Nell,Nell,False,6.1,128,loss of mother;loss of sister;twin sister;autism;lake;kaspar-hauser-syndrom;feral child;forest;north carolina;psychologist;family
False,,34000000,Crime;Thriller;Drama,,241,tt0110632,en,Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,11.226856,/w5sruoTQ87PFAGRJQyyaCOM1C4A.jpg,Regency Enterprises;Alcor Films;Ixtlan;Warner Bros.;New Regency Pictures;J D Productions,,1994-08-25,50282766,119,en;nv;ja,Released,The Media Made Them Superstars.,Natural Born Killers,False,6.9,927,sadistic;journalist;mass murder;yellow press;trauma;daughter;satire;controversy;controversial;violence;young couple;abuse
False,,0,Drama,,527,tt0110729,en,Once Were Warriors,"A drama about a Maori family lving in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.",4.025276,/8QF48QS5lvtrhOclt22RFz3bSQm.jpg,Avalon Studios;New Zealand Film Commission;New Zealand On Air,,1994-09-02,2201126,99,en;mi,Released,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love.",Once Were Warriors,False,7.6,106,individual;slum;suicide;tattoo;alcohol;rape;tradition;loss of child;indigenous;despair;violent husband;ghetto;new zealand;maori;strong woman;lack of prospects;maori tradition;funeral;approved school ;crush;independent film;teacher;youth gang;domestic violence;violence;rebellious youth;alcohol abuse;incest;unemployment
