id,title,synopsis,genres,release_date,episodes,members,popularity,ranked,score,img_url,link
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,After the victory against Aoba Jousai High Karasuno High School once called “a fallen powerhouse a crow that can’t fly ” has finally reached the climax of the heated Spring tournament. Now to advance to nationals the Karasuno team has to defeat the powerhouse Shiratorizawa Academy. Karasuno’s greatest hurdle is their adversary’s ace Wakatoshi Ushijima the number one player in the Miyagi Prefecture and one of the country’s top three aces. Only the strongest team will make it to the national tournament. Since this match is the third-year players’ last chance to qualify for nationals Karasuno has to use everything they learned during the training camp and prior matches to attain victory. Filled with restlessness and excitement both teams are determined to come out on top in the third season of Haikyuu!! .,Comedy;Sports;Drama;School;Shounen,2016-10-08,10,395375,223,16,8.94,https://cdn.myanimelist.net/images/anime/7/81992.jpg,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
34096,Gintama.,After joining the resistance against the bakufu Gintoki and the gang are in hiding along with Katsura and his Joui rebels. The Yorozuya is soon approached by Nobume Imai and two members of the Kiheitai who explain that the Harusame pirates have turned against 7th Division Captain Kamui and their former ally Takasugi. The Kiheitai present Gintoki with a job: find Takasugi who has been missing since his ship was ambushed in a Harusame raid. Nobume also makes a stunning revelation regarding the Tendoushuu a secret organization pulling the strings of numerous factions and their leader Utsuro the shadowy figure with an uncanny resemblance to Gintoki's former teacher. Hitching a ride on Sakamoto's space ship the Yorozuya and Katsura set out for Rakuyou Kagura's home planet where the various factions have gathered and tensions are brewing. Long-held grudges political infighting and the Tendoushuu's sinister overarching plan finally culminate into a massive decisive battle on Rakuyou.,Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,2017-01-09,12,139309,800,15,8.94,https://cdn.myanimelist.net/images/anime/3/83528.jpg,https://myanimelist.net/anime/34096/Gintama
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,When Gintoki apprehends a movie pirate at a premiere he checks the camera's footage and finds himself transported to a bleak post-apocalyptic version of Edo where a mysterious epidemic called the White Plague has ravished the world's population. It turns out that the movie pirate wasn't a pirate after all—it was an android time machine and Gintoki has been hurtled five years into the future! Shinpachi and Kagura his Yorozuya cohorts have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years disappearing without a trace after scribbling a strange message in his journal. Setting out in the disguise given to him by the android time machine Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe he makes an important discovery—with a ragtag band of friends and allies at his side he doesn't have to fight alone.,Action;Sci-Fi;Comedy;Historical;Parody;Samurai;Shounen,2013-07-06,1,135232,833,14,8.95,https://cdn.myanimelist.net/images/anime/10/51723.jpg,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
918,Gintama,The Amanto aliens from outer space have invaded Earth and taken over feudal Japan. As a result a prohibition on swords has been established and the samurai of Japan are treated with disregard as a consequence. However one man Gintoki Sakata still possesses the heart of the samurai although from his love of sweets and work as a yorozuya one might not expect it. Accompanying him in his jack-of-all-trades line of work are Shinpachi Shimura a boy with glasses and a strong heart Kagura with her umbrella and seemingly bottomless stomach as well as Sadaharu their oversized pet dog. Of course these odd jobs are not always simple as they frequently have run-ins with the police ragtag rebels and assassins oftentimes leading to humorous but unfortunate consequences. Who said life as an errand boy was easy?,Action;Comedy;Historical;Parody;Samurai;Sci-Fi;Shounen,2006-04-04,201,579150,97,13,8.97,https://cdn.myanimelist.net/images/anime/10/73274.jpg,https://myanimelist.net/anime/918/Gintama
4181,Clannad: After Story,Clannad: After Story  the sequel to the critically acclaimed slice-of-life series Clannad  begins after Tomoya Okazaki and Nagisa Furukawa graduate from high school. Together they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose they push forward to confront their personal problems deepen their old relationships and create new bonds. Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose. Based on the visual novel by Key and produced by Kyoto Animation Clannad: After Story is an impactful drama highlighting the importance of family and the struggles of adulthood.,Slice of Life;Comedy;Supernatural;Drama;Romance,2008-10-03,24,740101,64,12,8.97,https://cdn.myanimelist.net/images/anime/13/24647.jpg,https://myanimelist.net/anime/4181/Clannad__After_Story
30276,One Punch Man,The seemingly ordinary and unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream he trained relentlessly for three years—and lost all of his hair in the process. Now Saitama is incredibly powerful so much so that no enemy is able to defeat him in battle. In fact all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored. This all changes with the arrival of Genos a 19-year-old cyborg who wishes to be Saitama's disciple after seeing what he is capable of. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society and Saitama shocked that no one knows who he is quickly agrees. And thus begins the story of One Punch Man  an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe he'll become popular in the process.,Action;Sci-Fi;Comedy;Parody;Super Power;Supernatural;Seinen,2015-10-05,12,1475219,5,50,8.68,https://cdn.myanimelist.net/images/anime/12/76049.jpg,https://myanimelist.net/anime/30276/One_Punch_Man
16664,Kaguya-hime no Monogatari,Deep in the countryside a man named Okina works as a bamboo cutter in a forest chopping away at the hollow plants day after day. One day he discovers a small baby inside a glowing shoot. He immediately takes her home convinced that she is a princess sent to Earth as a divine blessing from heaven. Okina and his wife Ouna take it upon themselves to raise the infant as their own watching over her as she quickly grows into an energetic young girl. Given the name Kaguya she fits right in with the village she has come to call home going on adventures with the other children and enjoying what youth has to offer. But when Okina finds a large fortune of gold and treasure in the forest Kaguya's life is completely changed. Believing this to be yet another gift from heaven he takes it upon himself to turn his daughter into a real princess using the wealth he has just obtained relocating the family to a mansion in the capital. As she leaves her friends behind to enter into an unwanted life of royalty Kaguya's origins and purpose slowly come to light.,Fantasy;Historical,2013-11-23,1,99563,1106,250,8.28,https://cdn.myanimelist.net/images/anime/1935/93606.jpg,https://myanimelist.net/anime/16664/Kaguya-hime_no_Monogatari
7588,Saraiya Goyou,Masterless samurai Akitsu Masanosuke is a skilled and loyal swordsman but his naïve diffident nature has time and again caused him to be let go by the lords who have employed him. Hungry and desperate he becomes a bodyguard for Yaichi the charismatic leader of a gang called Five Leaves. Although disturbed by the gang's sinister activities Masa begins to suspect that Yaichi's motivations are not what they seem. And despite his misgivings the deeper he's drawn into the world of the Five Leaves the more he finds himself fascinated by these devious mysterious outlaws. (Source: MU),Mystery;Historical;Drama;Samurai;Seinen,2010-04-16,12,61146,1650,800,7.86,https://cdn.myanimelist.net/images/anime/4/75203.jpg,https://myanimelist.net/anime/7588/Saraiya_Goyou
5680,K-On!,Hirasawa Yui a young carefree girl entering high school has her imagination instantly captured when she sees a poster advertising the Light Music Club. Being the carefree girl that she is she quickly signs up however Yui has a problem she is unable to play an instrument. When Yui goes to the clubroom to explain she's greeted by the other members: Ritsu Mio and Tsumugi. Although disheartened at Yui's lack of musical know-how they still try to convince her to stay to prevent the club's disbandment. After playing Yui a short piece which re-ignites her imagination they succeed in keeping their new member and guitarist. Along with the tasks of school and homework Yui begins to learn the guitar with the help of the other band members experiencing many mishaps along the way. However with the school festival drawing near and Yui getting stuck with her practice will the Light Music Club be ready in time for their debut?,Slice of Life;Comedy;Music;School,2009-04-03,13,610222,90,792,7.86,https://cdn.myanimelist.net/images/anime/10/76120.jpg,https://myanimelist.net/anime/5680/K-On
31637,Gate: Jieitai Kanochi nite Kaku Tatakaeri 2nd Season,Several months have passed since the infamous Ginza Incident with tensions between the Empire and JSDF escalating in the vast and mysterious Special Region over peace negotiations. The greed and curiosity of the global powers have also begun to grow as reports about the technological limitations of the magical realm's archaic civilizations come to light. Meanwhile Lieutenant Youji Itami and his merry band of female admirers struggle to navigate the complex political intrigue that plagues the Empire's court. Despite her best efforts Princess Piña Co Lada faces difficulties attempting to convince her father that the JSDF has no intention of conquering their kingdom. Pressured from both sides of the Gate Itami must consider even more drastic measures to fulfill his mission.,Action;Military;Adventure;Fantasy,2016-01-09,12,328860,297,785,7.86,https://cdn.myanimelist.net/images/anime/8/77382.jpg,https://myanimelist.net/anime/31637/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_2nd_Season
38145,Doukyonin wa Hiza Tokidoki Atama no Ue.,Subaru Mikazuki is a 23-year-old mystery novel author major introvert and an awkwardly shy person. He would much rather stay home to read a book than go outside and interact with others. Further exacerbating this life of solitude his parents tragically died in an accident many years ago leaving him alone in the world. One day while giving offerings at his parents' grave Subaru runs into a small grey and white cat named Haru which he ends up taking home with him. Subaru however has never taken care of anyone else in his life—can he even take care of a cat? Haru is grateful toward Subaru as he gives her all the food she wants—a luxury for a cat who is used to a rough life on the streets. But she notices that Subaru can't even seem to take care of himself! Will she be okay with this dunce? Doukyonin wa Hiza Tokidoki Atama no Ue. tells the story of an unlikely friendship between a human and a cat who try to foster an understanding with each other.,Slice of Life;Comedy,2019-01-09,12,89612,1216,784,7.86,https://cdn.myanimelist.net/images/anime/1251/99191.jpg,https://myanimelist.net/anime/38145/Doukyonin_wa_Hiza_Tokidoki_Atama_no_Ue
552,Digimon Adventure,When a group of kids head out for summer camp they don't expect it to snow in the middle of July. Out of nowhere the kids receive strange devices which transport them to a very different world to begin their Digimon Adventure ! Led by the plucky Taichi Yagami the seven children must now survive in a realm far from home filled with monsters and devoid of other humans. Luckily they're not alone: each child is paired off with a companion digital monster called a Digimon. Together the children and their new friends must overcome their insecurities discover their inner strengths and evolve into stronger fighters - literally. A force of evil is spreading through the Digital World corrupting all the Digimon. The DigiDestined have arrived and it’s up to them to save the Digital World if they ever want to see their home world again.,Action;Adventure;Comedy;Fantasy;Kids,1999-03-07,54,274830,356,783,7.86,https://cdn.myanimelist.net/images/anime/10/11070.jpg,https://myanimelist.net/anime/552/Digimon_Adventure
1689,Byousoku 5 Centimeter,Takaki Toono and Akari Shinohara two very close friends and classmates are torn apart when Akari's family is transferred to another region of Japan due to her family's job. Despite separation they continue to keep in touch through mail. When Takaki finds out that his family is also moving he decides to meet with Akari one last time. As years pass by they continue down their own paths their distance slowly growing wider and their contact with one another fades. Yet they keep remembering one another and the times they have shared together wondering if they will have the chance to meet once again.,Slice of Life;Drama;Romance,2007-03-03,3,554071,108,781,7.86,https://cdn.myanimelist.net/images/anime/10/79674.jpg,https://myanimelist.net/anime/1689/Byousoku_5_Centimeter
34944,Bungou Stray Dogs: Dead Apple,A large scale catastrophe is occurring across the planet. Ability users are discovered after the appearance of a mysterious fog apparently having committed suicide so the Armed Detective Agency sets out to investigate these mysterious deaths. The case seems to involve an unknown ability user referred to as Collector a man who could be the mastermind behind the incident. Trust and courage are put to the test in order to save the city of Yokohama and ability users across the world from the grip of Collector where the Armed Detective Agency forms an unlikely partnership with the dangerous Port Mafia.,Action;Comedy;Mystery;Super Power;Supernatural,2018-03-03,1,73839,1448,780,7.86,https://cdn.myanimelist.net/images/anime/1127/93981.jpg,https://myanimelist.net/anime/34944/Bungou_Stray_Dogs__Dead_Apple
36214,Asagao to Kase-san.,Yui Yamada a timid girl who enjoys tending to her school's greenery falls in love with the boyish and athletic Tomoka Kase. The two eventually begin dating and the story follows the pair as they face various challenges in their relationship. (Source: Wikipedia),Romance;School;Shoujo Ai,2018-06-09,1,33444,2426,779,7.86,https://cdn.myanimelist.net/images/anime/1578/94205.jpg,https://myanimelist.net/anime/36214/Asagao_to_Kase-san
39940,Shokugeki no Souma: Shin no Sara,Fourth season of Shokugeki no Souma .,Ecchi;School;Shounen,2019-10-12,12,162213,683,773,7.87,https://cdn.myanimelist.net/images/anime/1258/102849.jpg,https://myanimelist.net/anime/39940/Shokugeki_no_Souma__Shin_no_Sara
322,Paradise Kiss,On her way home from school Yukari Hayasaka is approached by a weird-looking guy who starts looking at her body intently. He's got blond spiky hair a spiked choker and multiple piercings on his ears and face. She wants nothing to do with him and runs away only to bump into a very tall and beautiful purple-haired woman with a flower pattern around her eye. Yukari faints from shock and wakes up later in a strange place called the Atelier. It turns out that these strangers are fashion designers who attend the most famous art school around Yazawa Art Academy and their group wants Yukari to model for their brand in Yazawa Academy's upcoming show. Yukari turns down their offer and escapes the Atelier but unknowingly leaves her school ID behind. George Koizumi the head designer later sees it and immediately knows she would be the perfect model for them and will not stop until he gets what he wants—and he wants her. Yukari had never considered something as frivolous as modeling before but could life among these eccentric designers actually prove to be fun? Or will Yukari lose herself in this world of art and passion?,Comedy;Drama;Josei;Romance;Slice of Life,2005-10-14,12,122787,916,772,7.87,https://cdn.myanimelist.net/images/anime/7/80636.jpg,https://myanimelist.net/anime/322/Paradise_Kiss
4472,Lucky☆Star: Original na Visual to Animation,The OVA features six separate stories revolving around the cast some of which border on the bizarre one of which is an MMORPG environment being played by Konata Kagami Tsukasa and Nanako Kuroi and another in which Kagami has a suggestive dream about Konata. (Source: Wikipedia),Comedy;Parody;School;Slice of Life,2008-09-26,1,105307,1056,769,7.87,https://cdn.myanimelist.net/images/anime/2/22582.jpg,https://myanimelist.net/anime/4472/Lucky%E2%98%86Star__Original_na_Visual_to_Animation
97,Last Exile,In the world of Prester flight is the dominant mode of transportation made possible by Claudia Fluid: a liquidized form of the crystals that are produced on the planet. An organization known solely as the Guild has absolute authority over the skies with a monopoly on the engines that make use of this fluid. Moreover as ecological disasters destabilize the warring countries of Anatoray and Disith the Guild also arbitrates in the disputes between the two. Caught in the middle of the conflict are Sky Couriers piloting small two-person vanships that fly freely through the sky. Last Exile follows the adventures of two teenagers who dream of surpassing their parents: Claus Valca son of a famous vanship pilot and Lavie Head Claus' best friend and navigator. Their job as couriers entails passing through an air current called the Grand Stream that separates the hostile nations which even standard airships struggle to survive. However when they take on a high-rated delivery to bring an orphan girl named Alvis Hamilton to the battleship Silvana they get dragged into a much greater conflict that pits them against the might of the Guild.,Action;Sci-Fi;Adventure,2003-04-08,26,137273,810,768,7.87,https://cdn.myanimelist.net/images/anime/7/10888.jpg,https://myanimelist.net/anime/97/Last_Exile
468,Koukaku Kidoutai 2: Innocence,With Major Motoko Kusanagi missing Section 9's Batou is assigned to investigate a string of gruesome murders—seemingly at the hands of faulty gynoids or sex robots. But when a faulty gynoid leaves Batou a cryptic message he begins to question the cause of their malfunctions. Suspicions of politically motivated murder and an illegal ghost quickly crop up drawing Batou and his partner Togusa into a perilous web of conspiracy. As their investigation goes on the line between man and machine continues to blur and reality and perception become indistinguishable. Confronting strange and dangerous foes Batou and Togusa explore a futuristic world filled with machines and living dolls but utterly devoid of humanity.,Military;Sci-Fi;Police;Psychological;Mecha,2004-03-06,1,121133,929,767,7.87,https://cdn.myanimelist.net/images/anime/10/75628.jpg,https://myanimelist.net/anime/468/Koukaku_Kidoutai_2__Innocence
1491,Ginga Tetsudou 999,In the distant future humanity has found a way to live forever by purchasing mechanical bodies but this way to immortality is extraordinarily expensive. An impoverished boy Tetsurou Hoshino desires to purchase a pass on the Galaxy Express 999—a train that travels throughout the universe—because it is said that at the end of the line those aboard can obtain a mechanical body for free. When Tetsurou's mother is gunned down by the villainous machine-man hybrid Count Mecha however all seems lost. Tetsurou is then saved from certain death by the mysterious Maetel a tall woman with blonde hair and a striking resemblance to his mother. She gives him a pass to the Galaxy Express under one condition: that they travel together. Thus Tetsurou begins his journey across the universe to many unique planets and thrilling adventures in hopes of being able to attain that which he most desires.,Sci-Fi;Adventure;Space;Drama,1978-09-14,113,21402,3080,761,7.87,https://cdn.myanimelist.net/images/anime/7/27801.jpg,https://myanimelist.net/anime/1491/Ginga_Tetsudou_999
19319,Gundam Build Fighters,Though Gundam Plastic Models better known as Gunpla exploded in popularity with the release of the anime series Mobile Suit Gundam  their presence faded before resurging with a new purpose. Through the power of Plavsky particles fans are now able to pit their Gunpla against others in a virtual reality-style battle with the best competing at the annual Gunpla World Tournament. Sei Iori whose father was a once finalist in the competition dreams of one day conquering the contest himself. However while Sei is an expert Gunpla builder he lacks the prowess to effectively fight his creations during actual battle. In comes Reiji a mysterious boy who is curiously ignorant of society but quickly demonstrates to Sei tremendous ability in Gunpla battles. The two boys decide to combine their strengths in order to sweep the Gunpla World Tournament and take the Gunpla world by storm.,Action;Sci-Fi;Mecha,2013-10-07,25,50399,1890,762,7.87,https://cdn.myanimelist.net/images/anime/7/51815.jpg,https://myanimelist.net/anime/19319/Gundam_Build_Fighters
1571,Ghost Hunt,While at school Taniyama Mai and her friends like to exchange ghost stories. Apparently there is an abandoned school building on their campus that is the center of many ghost stories. During the story they are interrupted by a mysterious male figure. The person turns out to be Shibuya Kazuya a 17-year-old who is president of the Shibuya Psychic Research Company. He was called by the principal to investigate the stories surrounding the abandoned school building. The next day on the way to school Mai passes the school building in question. While examining a strange camera she spotted inside she gets surprised by Kazuya's assistant. Unknowingly interfering with the investigation Mai breaks the camera and Kazuya's assistant gets injured. Kazuya forcefully hires Mai in order to pay for the camera and replace his injured assistant. From that point on Mai begins to learn about the paranormal world and the profession of ghost hunting.,Mystery;Comedy;Horror;Supernatural;Shoujo,2006-10-04,25,172769,630,760,7.87,https://cdn.myanimelist.net/images/anime/11/73908.jpg,https://myanimelist.net/anime/1571/Ghost_Hunt
35222,Gakuen Babysitters,After losing both parents in a fatal plane crash teenager Ryuuichi Kashima must adjust to his new life as the guardian of his younger brother Kotarou. Although Ryuuichi is able to maintain a friendly and kindhearted demeanor Kotarou is a reserved toddler still too young to understand the reality of the situation. At their parents' funeral they are approached by Youko Morinomiya the stern chairman of an elite academy who decides to take them under her care. However there is one condition Ryuuichi must fulfill in exchange for a roof over their heads and enrolment in the school—he must become the school's babysitter. In an effort to support the female teachers at the academy a babysitter's club was established to look after their infant children unfortunately the club is severely short-staffed so now not only is Ryuuichi responsible for his little brother but also a handful of toddlers who possess dynamic personalities.,Comedy;School;Shoujo;Slice of Life,2018-01-07,12,94090,1171,759,7.87,https://cdn.myanimelist.net/images/anime/8/89978.jpg,https://myanimelist.net/anime/35222/Gakuen_Babysitters
269,Bleach,Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki who gets injured while protecting Ichigo's family from the assailant. To save his family Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However as Rukia is unable to regain her powers Ichigo is given the daunting task of hunting down the Hollows that plague their town. However he is not alone in his fight as he is later joined by his friends—classmates Orihime Inoue Yasutora Sado and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world.,Action;Adventure;Comedy;Super Power;Supernatural;Shounen,2004-10-05,366,1002578,25,757,7.87,https://cdn.myanimelist.net/images/anime/3/40451.jpg,https://myanimelist.net/anime/269/Bleach
